 V0_LATITUDE,V0_LONGITUDE, V1_LATITUDE,V1_LONGITUDE, V2_LATITUDE,V2_LONGITUDE, V3_LATITUDE,V3_LONGITUDE,FE_WT,TI_WT,CA_WT,SI_WT,AL_WT,MG_WT,NA_WT,O_WT,chi2
-77.8985,49.9708,-82.7908,48.7379,-83.3969,53.5707,-77.3283,52.7677,4.327163613,2.914910038,19.61003749,3.703956964,19.48839419,0.963060154,3.992477554,45,3.264485
83.3845,36.0738,77.8511,35.1579,77.291,38.2669,82.7912,41.5073,6.781168119,0.390088118,19.9555352,1.630866706,19.7645831,3.716736344,2.761022413,45,2.26973
83.7888,35.7985,78.2551,34.9758,77.6955,38.1955,83.1958,41.5819,1.077650127,11.25812184,19.98112734,0.213892603,19.70115321,0.249343854,2.518711031,45,2.25894
84.1932,35.482,78.6591,34.7803,78.1001,38.1191,83.6005,41.6634,2.111035219,19.99999764,17.4715247,1.563531544,11.33750272,0.0844127,2.43199548,45,2.480548
84.597,35.1201,79.0627,34.5704,78.5046,38.0373,84.005,41.7583,1.177743418,10.41005891,19.99912801,1.852398887,16.85726694,1.72E-05,4.70338665,45,2.839605
85.0005,34.7004,79.4661,34.3457,78.9088,37.9508,84.4094,41.8676,17.51396605,4.081676826,19.99919976,2.019712946,7.838399328,9.24E-06,3.547035852,45,2.97815
-35.0145,-141.282,-40.6648,-140.743,-40.1425,-139.678,-34.5278,-140.254,1.000000164,1.29E-06,6.283933909,22.94133381,13.83081439,6.408958536,4.534957909,45,3.322238
-35.4173,-141.293,-41.0654,-140.748,-40.5407,-139.679,-34.9278,-140.262,4.890245433,3.875423727,19.99999985,11.8747208,7.065488402,4.345453103,2.948668679,45,3.127504
-35.8201,-141.304,-41.466,-140.753,-40.939,-139.681,-35.3278,-140.271,3.622914896,3.045105556,19.99990048,12.24466054,8.119302439,4.609413583,3.358702503,45,3.327269
-36.2229,-141.314,-41.8666,-140.759,-41.3374,-139.683,-35.7279,-140.28,5.185175672,4.006883234,19.99998911,11.29337631,7.08351741,4.265021114,3.166037151,45,3.33221
-36.6257,-141.325,-42.2673,-140.764,-41.7358,-139.685,-36.128,-140.288,5.115808668,4.046731597,19.99993224,11.50683075,6.911082783,4.256653322,3.162960641,45,3.178383
-37.0286,-141.337,-42.6678,-140.769,-42.1342,-139.686,-36.5282,-140.297,1.000055466,8.36E-06,7.291204546,22.21642519,12.98700805,6.818252253,4.687046135,45,3.326014
-37.4315,-141.348,-43.0686,-140.775,-42.5328,-139.689,-36.9285,-140.306,3.510306228,2.841665353,19.9843507,12.94245876,7.595382793,4.49790725,3.627928912,45,3.369269
-37.8343,-141.359,-43.4694,-140.781,-42.9314,-139.691,-37.3288,-140.315,5.161635994,4.030149781,19.99999952,11.51513675,6.714363588,4.049011251,3.529703117,45,3.385814
-38.2372,-141.371,-43.8702,-140.787,-43.3301,-139.692,-37.7291,-140.324,3.75687976,3.276410949,19.99992463,12.52896842,7.506111394,4.356078381,3.575626466,45,3.498174
-42.2662,-141.494,-47.8789,-140.851,-47.3202,-139.709,-41.7355,-140.414,4.885938641,3.405300539,19.99991376,11.63953258,6.620813071,4.229721842,4.218779572,45,3.42719
-42.6692,-141.507,-48.28,-140.858,-47.7196,-139.711,-42.1365,-140.423,2.723682481,1.426254586,19.9995931,13.45525815,8.011472555,5.056584409,4.32715472,45,3.330894
-43.0722,-141.521,-48.6811,-140.866,-48.119,-139.712,-42.5375,-140.433,3.770670924,2.903238223,19.99826006,12.38881645,7.122071738,4.709888946,4.107053666,45,3.246594
-43.4751,-141.534,-49.0822,-140.873,-48.5186,-139.714,-42.9385,-140.443,1.000007673,1.43E-06,6.186069444,24.1132117,11.62756829,7.073141497,4.999999969,45,3.349582
-43.8781,-141.548,-49.4833,-140.881,-48.9182,-139.715,-43.3396,-140.452,2.898870006,2.267595907,19.99999932,13.60438858,7.22260571,5.119273684,3.887266795,45,3.203113
-44.2812,-141.562,-49.8845,-140.889,-49.3178,-139.717,-43.7408,-140.461,1.000020321,1.13E-05,6.052590587,23.59394177,11.82846686,7.524969282,4.999999859,45,3.111083
-44.6842,-141.576,-50.2857,-140.896,-49.7175,-139.718,-44.1419,-140.471,4.238399033,3.835134751,19.9999991,12.71892656,6.198073754,4.677531024,3.331935774,45,2.776001
-45.0873,-141.591,-50.6869,-140.904,-50.1173,-139.72,-44.5432,-140.481,3.282707783,2.478356609,19.99371889,13.56886028,6.860757611,5.15196962,3.663629203,45,2.766421
-45.4902,-141.605,-51.0881,-140.913,-50.5171,-139.721,-44.9444,-140.491,4.930527654,3.115770229,19.99999988,12.84239957,6.038657891,4.895205448,3.177439328,45,2.66335
-45.8933,-141.62,-51.4893,-140.921,-50.9169,-139.722,-45.3458,-140.501,3.593964232,1.842334218,19.99999878,13.94023016,6.744075379,5.501574886,3.377822348,45,2.740686
-46.2963,-141.635,-51.8907,-140.93,-51.317,-139.723,-45.7472,-140.51,3.088702094,1.709230907,19.99999982,14.15282838,6.970104808,5.457294145,3.62183984,45,2.728181
-46.6994,-141.65,-52.292,-140.939,-51.7169,-139.725,-46.1486,-140.52,4.413176451,3.475706693,19.99999651,12.41531615,6.324006657,4.917414037,3.454383502,45,2.840621
-47.1024,-141.665,-52.6934,-140.947,-52.1171,-139.726,-46.5501,-140.531,5.604010107,4.828085899,19.99999624,11.37961513,5.532963823,4.506358479,3.148970319,45,3.18208
-47.5055,-141.681,-53.0948,-140.956,-52.5173,-139.727,-46.9517,-140.541,2.286707069,3.277825518,20,13.69364346,6.63482507,5.279597866,3.827401014,45,3.35527
-47.9087,-141.697,-53.4962,-140.966,-52.9175,-139.729,-47.3533,-140.551,4.846492388,3.819439995,19.99999204,12.05176279,6.181802888,4.763249392,3.337260505,45,3.434344
-48.3118,-141.714,-53.8977,-140.975,-53.3178,-139.73,-47.755,-140.562,2.352002594,1.976236186,19.99999958,14.76128001,7.001067048,5.270678896,3.638735686,45,3.469593
85.3211,32.7885,79.7853,32.8593,79.2308,36.6058,84.7351,40.5173,4.585083842,8.893608782,16.73216356,1.157016047,18.63213658,1.04E-06,4.999990145,45,1.670185
85.7234,32.1819,80.1879,32.5924,79.6348,36.5001,85.1394,40.6316,8.925782065,5.469654223,19.79638326,0.132564031,15.67560665,9.80E-06,4.999999973,45,1.653538
86.1253,31.4497,80.5906,32.3013,80.0389,36.3845,85.5437,40.7671,10.82456765,8.334555485,19.9788524,1.223572502,9.638479795,1.27E-06,4.999970894,45,1.773005
86.9262,29.4127,81.3945,31.6416,80.8465,36.127,86.3521,41.1295,10.64225799,0.993513792,19.99999984,13.36427562,5.000001425,1.01E-06,4.999950315,45,2.111802
87.3245,27.9401,81.7959,31.2634,81.2503,35.9807,86.7561,41.3804,1.001811263,1.30E-06,19.24683338,24.75126815,5.000087688,1.00E-06,4.999997223,45,3.495903
-80.9241,-148.555,-86.4495,-149.977,-85.8911,-140.042,-80.3776,-144.327,2.449449333,5.72743261,19.99998305,16.563609,5.000032426,0.2594938,4.99999978,45,3.411332
-81.3264,-148.889,-86.8496,-151.083,-86.2969,-139.911,-80.783,-144.464,2.976966542,6.686125137,20,15.33679322,5.000115453,5.61E-06,4.999994035,45,3.316197
-81.7284,-149.254,-87.2483,-152.506,-86.7026,-139.744,-81.1883,-144.611,2.194473522,5.261863952,19.99999905,17.51912854,5.024528831,8.50E-06,4.999997598,45,3.347604
-82.13,-149.657,-87.6447,-154.409,-87.1084,-139.529,-81.5937,-144.772,4.113664239,5.186832388,19.99999991,15.39444128,5.304589763,0.000529078,4.999943344,45,3.34841
-82.9321,-150.599,-88.424,-161.084,-87.92,-138.858,-82.4043,-145.146,3.783047471,7.197076345,19.99999979,13.81353171,5.206343743,1.48E-06,4.999999466,45,3.460402
-83.3324,-151.155,-88.798,-167.617,-88.3257,-138.272,-82.8095,-145.365,2.047226226,6.014978266,19.99999206,16.64900271,5.288799534,1.73E-06,4.999999461,45,3.477892
-82.5322,42.6719,-88.0117,36.143,-88.5421,58.7711,-83.0737,47.8162,19.5731184,1.828553546,19.99571851,1.597077852,8.819288665,0.2577222,2.928520832,45,2.952752
-80.5029,41.7907,-85.9781,37.4026,-86.5582,46.9564,-81.0601,45.6913,1.331532228,10.07589459,16.55891496,1.882832343,19.5160364,1.101638987,4.533150497,45,1.774411
78.1399,32.9074,72.6027,31.9308,72.0494,34.1255,77.559,36.0223,10.44567823,11.19083892,9.804318004,0.783212781,19.99874969,0.444659078,2.332543308,45,3.294738
79.7606,32.4221,74.2229,31.4996,73.6687,33.9234,79.1783,36.0304,3.256264442,15.29157932,18.7897138,0.266518453,14.3766434,8.97E-06,3.019271611,45,3.213954
89.1219,-113.851,83.9688,-52.543,84.0909,-46.6477,88.7988,-83.4407,9.720286911,19.72209226,7.759919186,1.146686908,11.65090087,0.000113867,4.999999992,45,1.386891
89.128,-141.413,84.3719,-53.5867,84.5029,-47.277,89.0467,-101.446,5.896393621,16.93751039,19.68952543,1.64188585,5.890611513,0.003470721,4.940602482,45,1.359227
88.9527,-164.224,84.7727,-54.7893,84.914,-48.0063,89.1505,-127.336,9.252812175,3.692893585,19.99999033,8.984763793,6.971026544,1.098573842,4.999939729,45,1.369836
